Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Configure and use budgeting in Dynamics 365 Finance,4dbb8a3b-69ab-418e-a8e5-16c0f7cb2cc5,Online Course,Completed,7/13/2019,7/13/2019,10980,Seconds,1
"Configure and use cash and bank management, and sales tax in Dynamics 365 Finance",e7f95334-a620-4a8f-975d-d63124e85a5d,Online Course,Completed,7/13/2019,7/13/2019,26280,Seconds,1
Configure and use process manufacturing in Dynamics 365 Supply Chain Management,51f171fd-c4cb-4516-bf5e-6ad82055e634,Online Course,Completed,7/13/2019,7/13/2019,41580,Seconds,1
Configure and use the general ledger in Dynamics 365 Finance,c9a7a22c-a9b2-4370-a79b-b027a85fc6ba,Online Course,Completed,7/13/2019,7/13/2019,49560,Seconds,1
Configure bookable resources in Dynamics 365 Field Service,8ab5512e-73f1-4d0b-b0ad-30eb0d066395,Online Course,Completed,7/13/2019,7/13/2019,3060,Seconds,1
Configure fixed assets management in Dynamics 365 Finance,06e6d306-9f33-4af9-89ec-c2c1cd65510b,Online Course,Completed,7/13/2019,7/13/2019,6300,Seconds,1
Configure your organization in Finance and Operations apps,fb24dbf5-2e1f-40d1-b43d-6ecb56b4cb91,Online Course,Completed,7/13/2019,7/13/2019,50160,Seconds,1
Create a long-running serverless workflow with Durable Functions,814a375c-e324-41fd-8c19-dcf02eb0ff9a,Online Course,Completed,7/13/2019,7/13/2019,2760,Seconds,1
Create a model-driven application in Power Apps,485bbd60-e747-4cc0-95cc-833ea4db9e39,Online Course,Completed,7/13/2019,7/13/2019,16380,Seconds,1
Create serverless applications,0fd8654b-a365-43b9-9bda-e28caa320539,Online Course,Completed,7/13/2019,7/13/2019,4320,Seconds,1
Customize the schedule board in Dynamics 365 Field Service,faee870e-a8bf-4b3a-8268-b7efc1ef5720,Online Course,Completed,7/13/2019,7/13/2019,1920,Seconds,1
Develop a Site Reliability Engineering (SRE) strategy,6cf26a7a-78b8-4622-a55d-66f177e03b0f,Online Course,Completed,7/13/2019,7/13/2019,15120,Seconds,1
Develop web applications with Visual Studio Code,ac59ade5-9395-4770-9039-330fb8581569,Online Course,Completed,7/13/2019,7/13/2019,2700,Seconds,1
Develop Windows 10 applications,5a7196cf-561b-4ee2-9f78-a8f5bb36e47f,Online Course,Completed,7/13/2019,7/13/2019,12300,Seconds,1
"Develop, test, and deploy an Azure Function with Visual Studio",6dfa268f-3e8d-4582-9e70-36215dcb199e,Online Course,Completed,7/13/2019,7/13/2019,2580,Seconds,1
Execute an Azure Function with triggers,5e5e2355-883e-4f00-a0ba-76a7eb7b319e,Online Course,Completed,7/13/2019,7/13/2019,4980,Seconds,1
Extend Dynamics 365 Portals,bf061408-05ba-4edd-a478-3fa7d9027722,Online Course,Completed,7/13/2019,7/13/2019,10860,Seconds,1
Get started with Connected Field Service for Dynamics 365 and Azure IoT,ad8f0070-1d63-40e3-bb97-1dc3e0afac4a,Online Course,Completed,7/13/2019,7/13/2019,3960,Seconds,1
Get started with Dynamics 365 Portals,198fa15c-07bf-4fab-969c-34362d899867,Online Course,Completed,7/13/2019,7/13/2019,5640,Seconds,1
Get started with finance and operations apps,e18e051c-738a-42bd-b330-f04edd45a04d,Online Course,Completed,7/13/2019,7/13/2019,40020,Seconds,1
Get started with Microsoft Dynamics 365 Field Service Mobile,b7ce4fa8-3d21-42c7-82bd-092ef7a0074f,Online Course,Completed,7/13/2019,7/13/2019,4320,Seconds,1
Implement application lifecycle management in Finance and Operations apps,c5d9cefb-cda0-40c3-9ad0-b4b5e86d7e1b,Online Course,Completed,7/13/2019,7/13/2019,3720,Seconds,1
Implement goal management in Dynamics 365 Sales and Customer Service,7468106a-c4d3-47a6-ba5e-475638f276fe,Online Course,Completed,7/13/2019,7/13/2019,5340,Seconds,1
Implement Microsoft Dynamics 365 Field Service,28d917d2-8ced-43b6-831f-13f5b1d1b508,Online Course,Completed,7/13/2019,7/13/2019,23700,Seconds,1
Introduction to compliance tools in Microsoft 365,84b0beef-ab16-4eba-a968-5b2b85c96606,Online Course,Completed,7/13/2019,7/13/2019,2640,Seconds,1
Introduction to Microsoft 365 core services and features,f0031286-4f4b-46f5-9122-fe9dc76590ec,Online Course,Completed,7/13/2019,7/13/2019,1500,Seconds,1
Introduction to Microsoft 365 unified endpoint management,0772f7e8-f5db-456d-b030-bdd2202cb638,Online Course,Completed,7/13/2019,7/13/2019,900,Seconds,1
Introduction to security in Microsoft 365,bca51428-e165-4be9-84ae-4fc78d456715,Online Course,Completed,7/13/2019,7/13/2019,2340,Seconds,1
Introduction to Site Reliability Engineering (SRE),9829dba4-1321-4dd1-96f6-a784c97ac843,Online Course,Completed,7/13/2019,7/13/2019,3300,Seconds,1
Introduction to teamwork in Microsoft 365,389ce9ac-e648-4521-b7f2-3cafedebba4f,Online Course,Completed,7/13/2019,7/13/2019,2940,Seconds,1
Learn how to manage IoT devices as an IT admin,2eeac2cd-7d64-46e6-90b7-394ca4c9f763,Online Course,Completed,7/13/2019,7/13/2019,2640,Seconds,1
Manage secrets in your server apps with Azure Key Vault,6a766bb6-4b7b-4299-b088-1bdaf883e053,Online Course,Completed,7/13/2019,7/13/2019,2760,Seconds,1
Manage your Microsoft 365 subscription,cb401772-c55d-485c-8060-25383100d6a4,Online Course,Completed,7/13/2019,7/13/2019,2400,Seconds,1
Microsoft 365 Fundamentals,2e1696f5-838a-4758-9c04-5a7a8d5d9b19,Online Course,Completed,7/13/2019,7/13/2019,15180,Seconds,1
Migrate data and go live with finance and operations apps,277fa5cd-d465-4913-9380-b74cbe7188b7,Online Course,Completed,7/13/2019,7/13/2019,18120,Seconds,1
Monitor and back up resources for Azure administrators,61167385-1e82-4f51-bca5-fbb5d283ea2e,Online Course,Completed,7/13/2019,7/13/2019,24240,Seconds,1
Move to a modern desktop with Microsoft 365,bf29c5a7-adcc-4ed0-81fa-8f3831a4228f,Online Course,Completed,7/13/2019,7/13/2019,1200,Seconds,1
"MS-900 Introduction to Microsoft 365: Describe Microsoft 365 pricing, licensing, and support",1f18b92d-139d-48e7-8db1-5542b062f80c,Online Course,Completed,7/13/2019,7/13/2019,2640,Seconds,1
Optimize the performance of Azure Cosmos DB by using partitioning and indexing strategies,c4f5911b-17a5-4a52-90a6-7834233c69d4,Online Course,Completed,7/13/2019,7/13/2019,4560,Seconds,1
Optimize your web applications by caching read-only data with Redis,e4a21961-2c4b-45f5-9156-0d38dc23d9e8,Online Course,Completed,7/13/2019,7/13/2019,3300,Seconds,1
Prepare data for migration to finance and operations apps,f8077e2e-71f7-4f2e-a8ee-e1e0e144d1fe,Online Course,Completed,7/13/2019,7/13/2019,5040,Seconds,1
Process credit and collections in Dynamics 365 Finance,e52b381c-4e28-42a6-b9f3-9064ec17389e,Online Course,Completed,7/13/2019,7/13/2019,6240,Seconds,1
Scale an App Service web app to efficiently meet demand with App Service scale up and scale out,eef1ea3b-f6fb-4760-91fd-5a638c2faa0f,Online Course,Completed,7/13/2019,7/13/2019,2760,Seconds,1
Secure and isolate access to Azure resources by using network security groups and service endpoints,aa1f95a3-9b48-4c8f-b8c5-6619e8adb244,Online Course,Completed,7/13/2019,7/13/2019,2580,Seconds,1
Secure your cloud data,878a98f5-0c92-4a4d-83b3-b296209c37d8,Online Course,Completed,7/13/2019,7/13/2019,4920,Seconds,1
Select a cloud deployment model,efdc16a1-d37d-4cd9-a76a-d2911d12906e,Online Course,Completed,7/13/2019,7/13/2019,540,Seconds,1
Universal Resource Scheduling in Microsoft Dynamics 365 Field Service,0333c019-f4b7-4072-a1eb-aba01c6e8ded,Online Course,Completed,7/13/2019,7/13/2019,16680,Seconds,1
Use advanced data options and connectors in Power Apps,64d804c0-bee6-4963-9d36-31d5c86927db,Online Course,Completed,7/13/2019,7/13/2019,9360,Seconds,1
Use advanced formula techniques and custom updates in Power Platform,eac4361f-0a67-406d-8e89-7ea2c485f066,Online Course,Completed,7/13/2019,7/13/2019,13200,Seconds,1
Use basic formulas to make better Power Apps canvas apps,436208bf-0170-4b5c-b29e-25fce0fd0207,Online Course,Completed,7/13/2019,7/13/2019,9540,Seconds,1
Use Lifecycle Services to design and plan an implementation of Finance and Operations apps,ec5410e2-96b2-427e-b369-070979632d75,Online Course,Completed,7/13/2019,7/13/2019,9300,Seconds,1
Use Microsoft Dynamics 365 Customer Service queues to manage case workloads,e892eb43-83b6-49a4-af25-cc475c322b31,Online Course,Completed,7/13/2019,7/13/2019,4140,Seconds,1
Use the UI and controls in a canvas app in Power Apps,d52df4d5-9630-459d-9cef-aaf85690ce96,Online Course,Completed,7/13/2019,7/13/2019,13200,Seconds,1
Voice of the Customer for Dynamics 365,dbaf99fe-d455-4d79-8df9-772e898dba48,Online Course,Completed,7/13/2019,7/13/2019,10440,Seconds,1
What is Microsoft 365?,1d4251f6-3a0d-45ed-b6e1-7fa528b93c03,Online Course,Completed,7/13/2019,7/13/2019,1320,Seconds,1
Work with accounts payable in Dynamics 365 Finance,7c33e0c9-0af9-400a-a61c-098da2d6ec76,Online Course,Completed,7/13/2019,7/13/2019,30420,Seconds,1
Work with accounts receivable in Dynamics 365 Finance,53cd1fbb-d7b5-43cd-bacf-f0bc4e33ec82,Online Course,Completed,7/13/2019,7/13/2019,24540,Seconds,1
Work with Cases in Dynamics 365 Customer Service,69cd3f8f-3a8b-40c4-86ef-2ea595059bdf,Online Course,Completed,7/13/2019,7/13/2019,25260,Seconds,1
Work with data in a Power Apps canvas app,4bff62ad-f26e-4500-9e8f-87768da60b8c,Online Course,Completed,7/13/2019,7/13/2019,10500,Seconds,1
Work with Dynamics 365 Sales,398425f7-7b2b-42b4-b96e-d23cd5a38837,Online Course,Completed,7/13/2019,7/13/2019,32640,Seconds,1
Work with entitlements and service level agreements in Dynamics 365 Customer Service,e8bf24a5-17b5-4afd-b3bf-7846f6b2d844,Online Course,Completed,7/13/2019,7/13/2019,7260,Seconds,1
Work with Knowledge Management Solutions in Dynamics 365 Customer Service,00243c03-e3e2-46fa-bcfc-9a51bac3c1c5,Online Course,Completed,7/13/2019,7/13/2019,9480,Seconds,1
"Work with Microsoft Power Platform tenants, environments, subscriptions, and Dynamics 365 apps",2d8c83af-1822-44e4-a1e2-536329fdc181,Online Course,Completed,7/13/2019,7/13/2019,6180,Seconds,1
Work with NoSQL data in Azure Cosmos DB,d52a4ce5-5ff1-45aa-93e8-b6a9071b260c,Online Course,Completed,7/13/2019,7/13/2019,21600,Seconds,1
Work with portals in Dynamics 365,2036e803-aac5-4f29-b250-ad0190595acb,Online Course,Completed,7/13/2019,7/13/2019,3360,Seconds,1
Working with Connected Field Service for Dynamics 365 and Azure IoT,cc346191-c6a0-4202-933a-54e79c808a7d,Online Course,Completed,7/13/2019,7/13/2019,22080,Seconds,1
Build mobile apps with Xamarin.Forms,6d69ad5a-e251-486a-9b54-763735311078,Online Course,Completed,7/12/2019,7/12/2019,34440,Seconds,1
Choose a Data Storage Approach in Azure,96880c01-02d0-42e8-8de6-9cdc668ab4c0,Online Course,Completed,7/12/2019,7/12/2019,1800,Seconds,1
Configure and manage procurement and vendors in Dynamics 365 Supply Chain Management,fa4b7e3f-5a04-46cf-bc94-31835c13bfbe,Online Course,Completed,7/12/2019,7/12/2019,49260,Seconds,1
Configure and manage products and inventory in Dynamics 365 Supply Chain Management,cac43b82-b143-46a1-b09e-4d1e10ebca45,Online Course,Completed,7/12/2019,7/12/2019,39660,Seconds,1
Configure and use discrete manufacturing in Dynamics 365 Supply Chain Management,acdb7f41-c62a-4d79-a4d9-011d5d792d6d,Online Course,Completed,7/12/2019,7/12/2019,61380,Seconds,1
Configure and use lean manufacturing in Dynamics 365 Supply Chain Management,b277688e-07a5-4089-992e-d1b237088951,Online Course,Completed,7/12/2019,7/12/2019,47160,Seconds,1
Connect your services together,788efd6d-94d7-48b7-89ee-cf322775afc6,Online Course,Completed,7/12/2019,7/12/2019,5460,Seconds,1
Consume business events in finance and operations apps,2f1ad5d5-d843-4834-87a1-b9870c88aea0,Online Course,Completed,7/12/2019,7/12/2019,6180,Seconds,1
Control access to your APIs with Azure API Management,244c163f-76b5-4b9d-a688-3f212045f81c,Online Course,Completed,7/12/2019,7/12/2019,3300,Seconds,1
